バージョン,タイトル,ジャンル,アーティスト,プレー回数,BEGINNER 難易度,BEGINNER スコア,BEGINNER PGreat,BEGINNER Great,BEGINNER ミスカウント,BEGINNER クリアタイプ,BEGINNER DJ LEVEL,NORMAL 難易度,NORMAL スコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER スコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER スコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,LEGGENDARIA 難易度,LEGGENDARIA スコア,LEGGENDARIA PGreat,LEGGENDARIA Great,LEGGENDARIA ミスカウント,LEGGENDARIA クリアタイプ,LEGGENDARIA DJ LEVEL,最終プレー日時
SINOBUZ,XINOBIKILL,CYBER JAZZSTEP,SOUND HOLIC feat. Nana Takahashi,2,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,1239,496,247,14,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-02-09 18:46
SINOBUZ,Yellow Sketch(RX-Ver.S.P.L.),ALTERNATIVE ELECTRO,高田雅史,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,9,1148,445,258,36,CLEAR,B,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-12-07 20:02
SINOBUZ,〆,HiTECH,lapix,5,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,CLEAR,---,9,1699,680,339,25,CLEAR,A,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-07-11 19:47
SINOBUZ,ちらちら・はらはら,ACEDIA,NU-KO,1,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,1144,459,226,6,CLEAR,AA,0,0,0,0,---,NO PLAY,---,2024-08-30 20:43
SINOBUZ,九尾狐夜行,ORIENTAL FUSION,天狐,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1305,536,233,9,CLEAR,A,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-07-17 21:09
SINOBUZ,冬椿 ft. Kanae Asaba,HYPER ENKA POP,Xceon,5,1,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,CLEAR,---,10,1757,750,257,19,CLEAR,A,11,0,0,0,---,NO PLAY,---,2024-09-30 20:22
SINOBUZ,刃図羅,LAST ARTS,猫叉Master vs HuΣeR,0,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,CLEAR,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
SINOBUZ,次葉 -turn the page-,POP ROCK,小寺可南子,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,10,1311,507,297,24,CLEAR,B,0,0,0,0,---,NO PLAY,---,2024-03-08 20:09
SINOBUZ,火影,HIP HOP,RoughSkreamZ feat.楽天斎,3,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1044,420,204,13,CLEAR,A,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-03-08 19:14
SINOBUZ,焔極OVERKILL,HARDCORE,RoughSketch Vs. L.E.D.-G,0,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,CLEAR,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
SINOBUZ,獅子霞麗ノ舞,DRAMATIC WALTZ,HuΣeR,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,1449,637,175,15,CLEAR,AA,0,0,0,0,---,NO PLAY,---,2024-07-13 15:45
SINOBUZ,禍根,ORBITALIC FUTURE BASS,U1 overground,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,951,376,199,18,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-07-08 19:27
SINOBUZ,鴉,CROSSBREED,L.E.D.-G,1,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,CLEAR,---,10,1512,571,370,42,CLEAR,B,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-06-20 20:28
CANNON BALLERS,1001 -ESCAPE-,JAZZ ROCK,SOUND HOLIC feat. Nana Takahashi,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
CANNON BALLERS,255,HYPER SPEED RAVE,255,2,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,965,376,213,44,CLEAR,B,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-04-28 18:12
CANNON BALLERS,Abraxas,DUBSTEP,SYUNN,3,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1342,572,198,5,CLEAR,AA,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-08-13 13:28
CANNON BALLERS,ACCELERATE,SYNTH-TECH,Sota Fujimori,2,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,FAILED,---,8,0,0,0,---,NO PLAY,---,10,1703,681,341,54,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-02-22 19:12
CANNON BALLERS,Alpheratz,PIANO TRANCE,Xceon,7,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,FULLCOMBO CLEAR,---,5,0,0,0,---,NO PLAY,---,9,1636,693,250,15,CLEAR,AA,0,0,0,0,---,NO PLAY,---,2024-08-13 12:53
CANNON BALLERS,Amor De Verao,熱帯 THE BASS,かめりあ feat. ななひら,4,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,11,1499,567,365,45,CLEAR,B,0,0,0,0,---,NO PLAY,---,2024-09-02 19:40
CANNON BALLERS,ANAGMA,PSY TECH DANCE,C-Show,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,1228,474,280,10,CLEAR,B,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-01-06 15:54
CANNON BALLERS,Arca,GENESIS,BEMANI Sound Team "Akhuta Works",1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1360,547,266,12,CLEAR,A,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-03-08 20:49
CANNON BALLERS,Back Spin Sweeper,WAGON WHEEL TRANCE,DJ TOTTO,1,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,CLEAR,---,9,973,386,201,38,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-06-06 20:46
CANNON BALLERS,Battleground,SCHRANZ,kors k,1,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,CLEAR,---,9,1314,517,280,24,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-06-06 20:44
CANNON BALLERS,Be a Hero!,DIGITAL THRASH PUNK,中島由貴,2,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,9,1518,635,248,11,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-08-02 20:38
CANNON BALLERS,Best of Me,CYBER LIQUID FUNK,Maozon,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,FAILED,---,8,0,0,0,---,CLEAR,---,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
CANNON BALLERS,Boomy and The Boost,NEO JUNGLE,Eagle,2,2,0,0,0,---,NO PLAY,---,6,0,0,0,---,CLEAR,---,9,1593,675,243,17,CLEAR,A,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-09-30 20:04
CANNON BALLERS,Break Stasis,DRUMSTEP/HARDCORE,Hommarju & Akira Complex,2,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,CLEAR,---,9,1379,546,287,14,CLEAR,A,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-08-01 20:32
CANNON BALLERS,ChaserXX,CYBERNETICS PIANO HOUSE,HuΣeR,3,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,CLEAR,---,9,1427,566,295,14,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-08-02 20:31
CANNON BALLERS,City Never Sleeps (IIDX Edition),DRUM&BASS,Dirty Androids,5,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,1488,637,214,13,CLEAR,A,11,1816,746,324,78,FAILED,A,0,0,0,0,---,NO PLAY,---,2024-10-01 21:01
CANNON BALLERS,COSMIC☆WONDER☆REVOLUTION,COSMIC POP,猫叉Master+,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,1641,691,259,12,CLEAR,AA,0,0,0,0,---,NO PLAY,---,2024-09-11 19:58
CANNON BALLERS,Eine Haube ～聖地の果てにあるもの～,VELLUM,AIKO OI,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
CANNON BALLERS,EMERALDAS,IRREGULAR DJENT STEP,BEMANI Sound Team "HuΣeR vs dj Hellix",0,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,CLEAR,---,11,0,0,0,---,NO PLAY,---,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
CANNON BALLERS,encounter,DRUM'N'BASS,猫叉Master+,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,CLEAR,---,9,1343,547,249,16,CLEAR,A,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-01-18 19:08
CANNON BALLERS,Exhaust Hype,HARD BASS HOUSE,DJ Noriken,4,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1562,659,244,14,CLEAR,AA,11,1800,695,410,75,CLEAR,B,0,0,0,0,---,NO PLAY,---,2024-10-03 19:52
CANNON BALLERS,Expanded !!,MIDDLE EASTERN TWERK,BEMANI Sound Team "Expander",0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,CLEAR,---,8,0,0,0,---,CLEAR,---,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
CANNON BALLERS,Fervidex,ARTCORE,Feryquitous,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1910,775,360,82,NO PLAY,A,0,0,0,0,---,NO PLAY,---,2024-08-03 17:51
CANNON BALLERS,FREEDOM,HYPER DUBSTEP,USAO,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,CLEAR,---,8,0,0,0,---,CLEAR,---,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
CANNON BALLERS,From Time To Time,TECH HOUSE,sanodg,3,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,9,1436,579,278,11,CLEAR,A,10,1223,463,297,74,CLEAR,C,0,0,0,0,---,NO PLAY,---,2024-09-12 21:00
CANNON BALLERS,FUTURE is Dead,HOLIC,C-Show,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
CANNON BALLERS,Get Up! feat. Kanae Asaba,TROPICAL HOUSE,MK,8,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,CLEAR,---,7,0,0,0,---,CLEAR,---,9,1339,540,259,13,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-07-29 20:37
CANNON BALLERS,HAT TRICK,HANDZ STYLE,P*Light,9,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,10,1550,614,322,25,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-09-16 13:52
CANNON BALLERS,Hella Deep,FREESTYLE,MASAYOSHI IIMORI,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,CLEAR,---,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
CANNON BALLERS,I Love You,EURO TRANCE,O/iviA,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1327,526,275,25,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-04-22 19:51
CANNON BALLERS,Initiation,00's TECHNO,BEMANI Sound Team "謎の勢力",6,3,0,0,0,---,FULLCOMBO CLEAR,---,7,1233,536,161,12,CLEAR,AA,10,1594,626,342,59,CLEAR,B,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-09-08 18:08
CANNON BALLERS,Life Is A Game ft.DD"ナカタ"Metal,UPTEMPO HARDCORE,RoughSketch,1,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,1427,569,289,23,CLEAR,A,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-09-19 19:55
CANNON BALLERS,MAXIVCORD,ADMIRABLE,BEMANI Sound Team "dj TAKA",3,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1047,424,199,14,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-06-23 13:06
CANNON BALLERS,Midnight Lady,NU 80's DISCO FUNK,Dirty Androids,6,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,CLEAR,---,6,0,0,0,---,CLEAR,---,9,1569,672,225,5,CLEAR,AA,0,0,0,0,---,NO PLAY,---,2024-09-10 20:33
CANNON BALLERS,n'pa pa BBQ,FUTURE TERROR,YUC'e,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,FULLCOMBO CLEAR,---,8,0,0,0,---,CLEAR,---,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
CANNON BALLERS,NITROUS CANNON,MACHINEGUN PSYSTYLE,かめりあ,0,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,CLEAR,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
CANNON BALLERS,Nothing but Theory,ULTRA JAZZFUNKTION,lapix,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,11,1724,657,410,77,CLEAR,B,0,0,0,0,---,NO PLAY,---,2024-08-03 17:40
CANNON BALLERS,O/D*20,TECHNO,Ryu*,24,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,10,1673,707,259,10,CLEAR,AA,0,0,0,0,---,NO PLAY,---,2024-10-03 19:39
CANNON BALLERS,Only for now,PSYCHDELIC TRANCE,RINA SOUND PRODUCE : KAZUYA TAKASE,5,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,FAILED,---,8,0,0,0,---,CLEAR,---,10,1769,750,269,15,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-09-16 14:17
CANNON BALLERS,Persephone,HARDSTYLE,Massive New Krew,5,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,1486,608,270,8,CLEAR,A,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-10-01 19:43
CANNON BALLERS,Slipstream,FUTURE CORE,lapix,3,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1722,747,228,21,CLEAR,AA,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-09-16 13:20
CANNON BALLERS,SPEED DEMON,HARDTEK,GUHROOVY feat. NO+CHIN,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,CLEAR,---,8,1093,427,239,15,CLEAR,A,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-11-24 20:29
CANNON BALLERS,STARLIGHT JUNCTION,HEAV'NLY TRANCE,SOUND HOLIC feat. Nana Takahashi,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1725,739,247,33,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-08-18 18:59
CANNON BALLERS,Static State,ELECTRO TRANCE,Nhato,6,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,1266,519,228,16,CLEAR,A,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-08-03 16:35
CANNON BALLERS,Temple of Anubis,PSYSTYLE,Massive New Krew,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
CANNON BALLERS,THE CANNONBALLER,EUROBEAT,L.E.D. feat. YURiCa/花たん,2,2,0,0,0,---,CLEAR,---,6,0,0,0,---,NO PLAY,---,10,1783,735,313,16,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-09-19 19:44
CANNON BALLERS,UMMU,OSHARave,t+pazolite,5,2,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,1522,621,280,24,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-09-16 13:15
CANNON BALLERS,Xperanza,HYBRID HARDCORE,aran,0,3,0,0,0,---,CLEAR,---,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
CANNON BALLERS,うさ☆かめ 大戦争！,プログレッシブ徒競走,ARM×狐夢想 feat. I've : 柚子乃 & RINA,1,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,1010,377,256,42,CLEAR,B,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-12-14 20:13
CANNON BALLERS,エディブルフラワーの独白,HARD FRENCH,OSTER project feat. 常盤ゆう,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,10,1545,624,297,48,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-03-09 16:21
CANNON BALLERS,ナイトシティー・アヴァンチュール,歌謡ニューウェーブ,森永真由美,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,1461,596,269,53,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-04-28 18:01
CANNON BALLERS,ハイ*ビスカス ft. Kanae Asaba,YANKEE CAR J TRANCE,Xceon,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1756,696,364,24,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-09-03 19:42
CANNON BALLERS,バスルーム ロマンス,CLASSIC MOTIF,BEMANI Sound Team "Saori Watanabe",0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
CANNON BALLERS,パラドキシカル・タイムリープトライアル(Short Ver.),AKIBA-POP,MOSAIC.WAV,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1405,572,261,20,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-08-01 20:48
CANNON BALLERS,ラストセンチュリーメランコリック,FUTURE J-POP,DJ Taku aka ☆Taku Takahashi (m-flo),2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1427,554,319,100,CLEAR,B,0,0,0,0,---,NO PLAY,---,2024-09-10 20:23
CANNON BALLERS,東京神話,ORBITALIC GABBER STEP,DJ TECHNORCH feat.宇宙★海月 vs BEMANI Sound Team "U1-ASAMi",0,2,0,0,0,---,CLEAR,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
CANNON BALLERS,神謳 -RESONANCE-,Hi-MYTH,SOUND HOLIC feat. Nana Takahashi Vs.GOD PHOENIX Prim,0,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,CLEAR,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
CANNON BALLERS,純真可憐デザイア,EMOTIONAL ROCK,BEMANI Sound Team "HuΣeR" feat.Fernweh,7,1,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,10,1877,812,253,21,CLEAR,AA,0,0,0,0,---,NO PLAY,---,2024-08-24 16:51
Rootage,& Intelligence,MEGA MIX,lapix,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1562,619,324,26,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-07-08 20:31
Rootage,BLOSSOM,BLOOM TRANCE,BEMANI Sound Team "TAG",1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,1068,412,244,50,CLEAR,B,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-11-30 19:02
Rootage,Carry Me Away,FUTURE CORE,lapix,2,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,CLEAR,---,9,1372,557,258,15,CLEAR,A,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-07-10 18:25
Rootage,CODE:0,BIG BEAT,BEMANI Sound Team "HEXA",6,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,CLEAR,---,9,1621,623,375,5,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-10-01 19:50
Rootage,CoMAAAAAAA,UPLIFTING ETHNIC,Ryu☆,3,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,1624,652,320,61,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-03-08 19:38
Rootage,COSMIC CYBER,BIGCORE,BEMANI Sound Team "Captain Sonic",6,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1272,518,236,8,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-06-15 08:14
Rootage,Cranberry City ft. Luschel,GARAGE,lapix,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,10,1734,689,356,20,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-09-05 19:54
Rootage,dAuntl3ss,HARDER DANCE MUSIC,DJ Noriken,0,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,CLEAR,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
Rootage,Dr. Chemical & Killing Machine,INDUSTRIAL TECHNO,Hommarju,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,FAILED,---,9,1315,503,309,11,CLEAR,A,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-04-22 18:45
Rootage,Drastic Dramatic,8BARS,KING & Princess,0,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,CLEAR,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
Rootage,Ember Lights,FUSION TRANCE,Nhato,15,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,ASSIST CLEAR,---,9,1361,573,215,3,CLEAR,AA,11,1427,518,391,120,ASSIST CLEAR,C,0,0,0,0,---,NO PLAY,---,2024-09-16 14:59
Rootage,Geirskogul,CYBER DRUMSTEP,Maozon,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
Rootage,GENE,TECHNO GRAFFITI,VINCENT GANATCH,4,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,CLEAR,---,10,1422,577,268,27,CLEAR,A,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-10-01 20:08
Rootage,GIGA THRASH,DUBSTEP,Blacklolita,3,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,1353,533,287,21,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-08-27 20:38
Rootage,HARD BRAIN,HARD TECHNO,AJURIKA,3,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,1446,576,294,14,CLEAR,A,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-09-12 21:11
Rootage,HEISEI,ELECTRONIC RHAPSODY,BEMANI Sound Team "dj TAKA",0,2,0,0,0,---,CLEAR,---,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
Rootage,HOT LIMIT,IIDX EDITION,Remixed by BEMANI Sound Team "HuΣeR feat.PON",1,2,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1477,651,175,12,CLEAR,AA,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-06-17 20:18
Rootage,Hurry Hurry,RAVE SXXX,Masayoshi Iimori,6,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,CLEAR,---,6,0,0,0,---,CLEAR,---,9,1493,562,369,24,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-09-19 18:54
Rootage,IDC feat.REVERBEE (Mo'Cuts Ver),TECH-BREAKS,DJ Mass MAD Izm*,0,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
Rootage,IDOL syndrome.,PSYCHEDELIC ROCK,RINA,5,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,CLEAR,---,10,1493,562,369,21,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-04-13 18:40
